model,d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
first_half,1.0,-3.141592653589793,-3.141592653589793,1.7138007,0.115130186,-2.4954257,-0.023982525,-0.019506454,-0.0076625105
first_half,1.0,-3.141592653589793,-2.5132741228718345,3.2409496,2.4890978,0.13296199,-0.45097923,0.66314316,0.049273297
first_half,1.0,-3.141592653589793,-1.8849555921538759,1.711292,0.112532854,-2.4988558,-6.41346e-05,5.3286552e-05,0.00038310574
first_half,1.0,-3.141592653589793,-1.2566370614359172,3.4698894,-2.2523947,0.513572,0.0023117065,0.0013449192,0.0010136145
first_half,1.0,-3.141592653589793,-0.6283185307179586,1.2043902,1.4344189,-0.7491572,-1.4305115e-05,-6.67572e-06,-4.6746223e-05
first_half,1.0,-3.141592653589793,0.0,1.2043908,1.4344184,-0.74915767,-1.1444092e-05,3.8146973e-06,-9.9418885e-06
first_half,1.0,-3.141592653589793,0.6283185307179586,1.2043898,1.4344189,-0.7491572,-7.6293945e-06,-3.8146973e-06,-4.3451553e-05
first_half,1.0,-3.141592653589793,1.2566370614359172,1.2043908,1.434418,-0.7491584,0.0,8.583069e-06,3.269574e-05
first_half,1.0,-3.141592653589793,1.8849555921538759,1.7112923,0.11253238,-2.498858,-5.4359436e-05,6.723404e-05,0.000387923
first_half,1.0,-3.141592653589793,2.5132741228718345,2.1651106,-0.8154671,2.0888474,0.00027942657,-0.0002424717,0.0002764988
first_half,1.0,-2.5132741228718345,-3.141592653589793,0.8990561,-0.15879464,2.3440611,0.0036435127,0.00037956238,-2.1413598e-05
first_half,1.0,-2.5132741228718345,-2.5132741228718345,0.9004747,-0.15864825,2.3440573,-0.00054717064,-6.580353e-05,-1.2662223e-05
first_half,1.0,-2.5132741228718345,-1.8849555921538759,0.90046996,-0.15864873,2.3440568,-0.0005402565,-6.389618e-05,-8.019947e-07
first_half,1.0,-2.5132741228718345,-1.2566370614359172,2.0380085,2.1002152,0.55307627,0.026882172,0.025995255,0.026204385
first_half,1.0,-2.5132741228718345,-0.6283185307179586,2.0409117,2.0973327,0.5533166,-0.000120162964,0.009596825,0.0045679645
first_half,1.0,-2.5132741228718345,0.0,10.453791,-2.9608583,0.27533126,-0.0006518364,4.005432e-05,-0.0003658661
