d,theta1,theta2
1.000000000000000000e+00,-2.158999919891357422e+00,2.250999927520751953e+00
1.000000000000000000e+00,2.272000074386596680e+00,-2.173000097274780273e+00
1.000000000000000000e+00,2.892999887466430664e+00,2.456000089645385742e+00
1.500000000000000000e+00,-1.713000059127807617e+00,2.338999986648559570e+00
1.500000000000000000e+00,1.906000018119812012e+00,-2.016999959945678711e+00
1.799999952316284180e+00,-3.599999845027923584e-02,2.854000091552734375e+00
1.799999952316284180e+00,1.879999995231628418e+00,-1.889000058174133301e+00
2.000000000000000000e+00,-1.922000050544738770e+00,1.430000066757202148e-01
2.000000000000000000e+00,-2.700000070035457611e-02,3.025000095367431641e+00
2.000000000000000000e+00,6.859999895095825195e-01,-5.879999995231628418e-01
2.000000000000000000e+00,1.899000048637390137e+00,-1.777999997138977051e+00
2.000000000000000000e+00,2.721999883651733398e+00,1.080000028014183044e-01
2.200000047683715820e+00,-1.879999995231628418e+00,3.299999982118606567e-02
2.200000047683715820e+00,-2.600000053644180298e-02,-3.137000083923339844e+00
2.200000047683715820e+00,2.628000020980834961e+00,1.550000011920928955e-01
2.500000000000000000e+00,-1.828999996185302734e+00,-5.299999937415122986e-02
2.500000000000000000e+00,-1.250000000000000000e-01,-2.227999925613403320e+00
2.500000000000000000e+00,-3.400000184774398804e-02,-2.980000019073486328e+00
2.500000000000000000e+00,2.206000089645385742e+00,4.250000119209289551e-01
2.799999952316284180e+00,-1.797000050544738770e+00,-8.500000089406967163e-02
2.799999952316284180e+00,-1.473000049591064453e+00,-1.003000020980834961e+00
2.799999952316284180e+00,-1.019999980926513672e-01,-2.132999897003173828e+00
3.000000000000000000e+00,-1.789000034332275391e+00,-9.099999815225601196e-02
3.000000000000000000e+00,-8.900000154972076416e-02,-2.065000057220458984e+00
3.000000000000000000e+00,2.520000040531158447e-01,-5.499999970197677612e-02
3.500000000000000000e+00,-2.013999938964843750e+00,-4.100000113248825073e-02
3.500000000000000000e+00,-1.059999942779541016e+00,-1.250000000000000000e-01
3.500000000000000000e+00,1.749999970197677612e-01,-8.000000379979610443e-03
3.500000000000000000e+00,1.460000038146972656e+00,1.465999960899353027e+00
4.000000000000000000e+00,-2.190999984741210938e+00,-3.999999910593032837e-02
4.000000000000000000e+00,-1.080000042915344238e+00,-5.000000074505805969e-02
4.000000000000000000e+00,-4.699999839067459106e-02,-3.005000114440917969e+00
4.000000000000000000e+00,1.490000039339065552e-01,8.999999612569808960e-03
4.000000000000000000e+00,1.210000038146972656e+00,1.490000039339065552e-01
