d,theta1,theta2
5.000000000000000000e-01,-3.112999916076660156e+00,-2.719000101089477539e+00
5.000000000000000000e-01,-1.182999968528747559e+00,3.117000102996826172e+00
5.000000000000000000e-01,1.901999950408935547e+00,2.954999923706054688e+00
5.506328940391540527e-01,-3.117000102996826172e+00,-2.717000007629394531e+00
5.506328940391540527e-01,-1.192000031471252441e+00,3.134000062942504883e+00
5.506328940391540527e-01,1.899999976158142090e+00,2.976000070571899414e+00
6.012658476829528809e-01,-3.121000051498413086e+00,-2.713999986648559570e+00
6.012658476829528809e-01,-1.202000021934509277e+00,-3.128999948501586914e+00
6.012658476829528809e-01,1.898000001907348633e+00,2.999000072479248047e+00
6.518987417221069336e-01,-3.125000000000000000e+00,-2.709000110626220703e+00
6.518987417221069336e-01,-1.215999960899353027e+00,-3.101999998092651367e+00
6.518987417221069336e-01,1.896000027656555176e+00,3.026000022888183594e+00
7.025316357612609863e-01,-3.130000114440917969e+00,-2.703000068664550781e+00
7.025316357612609863e-01,-2.346999883651733398e+00,2.540999889373779297e+00
7.025316357612609863e-01,-1.235000014305114746e+00,-3.062999963760375977e+00
7.025316357612609863e-01,1.893000006675720215e+00,3.058000087738037109e+00
7.531645298004150391e-01,-3.135999917984008789e+00,-2.694999933242797852e+00
7.531645298004150391e-01,-2.351999998092651367e+00,2.545000076293945312e+00
7.531645298004150391e-01,1.889999985694885254e+00,3.096999883651733398e+00
8.037974834442138672e-01,-2.358000040054321289e+00,2.552000045776367188e+00
8.037974834442138672e-01,1.886999964714050293e+00,-3.137000083923339844e+00
8.037974834442138672e-01,3.141000032424926758e+00,-2.684000015258789062e+00
8.544303774833679199e-01,-2.362999916076660156e+00,2.562000036239624023e+00
8.544303774833679199e-01,1.883999943733215332e+00,-3.071000099182128906e+00
8.544303774833679199e-01,3.134000062942504883e+00,-2.668999910354614258e+00
9.050632715225219727e-01,-2.368000030517578125e+00,2.573999881744384766e+00
9.050632715225219727e-01,1.884999990463256836e+00,-2.963000059127807617e+00
9.050632715225219727e-01,3.125999927520751953e+00,-2.648000001907348633e+00
9.556962251663208008e-01,-2.371999979019165039e+00,2.589999914169311523e+00
9.556962251663208008e-01,2.778000116348266602e+00,-9.789999723434448242e-01
9.556962251663208008e-01,3.117000102996826172e+00,-2.619999885559082031e+00
1.006329059600830078e+00,-2.375999927520751953e+00,2.611000061035156250e+00
1.006329059600830078e+00,2.841000080108642578e+00,-1.067000031471252441e+00
1.006329059600830078e+00,3.105999946594238281e+00,-2.582000017166137695e+00
1.056962013244628906e+00,-2.378999948501586914e+00,2.635999917984008789e+00
1.056962013244628906e+00,3.094000101089477539e+00,-2.530999898910522461e+00
1.107594966888427734e+00,-2.382999897003173828e+00,2.665999889373779297e+00
1.107594966888427734e+00,3.078999996185302734e+00,-2.463999986648559570e+00
1.158227801322937012e+00,-2.387000083923339844e+00,2.701999902725219727e+00
1.158227801322937012e+00,3.059999942779541016e+00,-2.375999927520751953e+00
1.208860754966735840e+00,-2.391000032424926758e+00,2.743000030517578125e+00
1.208860754966735840e+00,3.035000085830688477e+00,-2.267999887466430664e+00
1.259493708610534668e+00,-2.397000074386596680e+00,2.792000055313110352e+00
1.259493708610534668e+00,3.000000000000000000e+00,-2.140000104904174805e+00
1.310126543045043945e+00,-2.404999971389770508e+00,2.846999883651733398e+00
1.310126543045043945e+00,2.948999881744384766e+00,-1.995000004768371582e+00
1.360759496688842773e+00,-2.417000055313110352e+00,2.911000013351440430e+00
1.360759496688842773e+00,2.875000000000000000e+00,-1.840000033378601074e+00
1.411392450332641602e+00,-2.437999963760375977e+00,2.983999967575073242e+00
1.411392450332641602e+00,2.762000083923339844e+00,-1.682999968528747559e+00
1.462025284767150879e+00,-2.479000091552734375e+00,3.076999902725219727e+00
1.462025284767150879e+00,2.586999893188476562e+00,-1.531999945640563965e+00
1.512658238410949707e+00,-2.588999986648559570e+00,-3.069000005722045898e+00
1.512658238410949707e+00,2.322999954223632812e+00,-1.398000001907348633e+00
1.512658238410949707e+00,2.323999881744384766e+00,-1.398000001907348633e+00
1.563291192054748535e+00,1.766999959945678711e+00,-2.098000049591064453e+00
1.563291192054748535e+00,1.766999959945678711e+00,-2.096999883651733398e+00
1.613924026489257812e+00,-5.460000038146972656e-01,2.204999923706054688e+00
1.613924026489257812e+00,1.684000015258789062e+00,-2.122999906539916992e+00
1.664556980133056641e+00,-1.599999964237213135e-01,2.288000106811523438e+00
1.664556980133056641e+00,1.613000035285949707e+00,-2.134000062942504883e+00
1.715189814567565918e+00,-8.100000023841857910e-02,2.368000030517578125e+00
1.715189814567565918e+00,1.539999961853027344e+00,-2.138999938964843750e+00
1.715189814567565918e+00,2.684999942779541016e+00,2.500000037252902985e-02
