d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
1.0,-3.141592653589793,-3.141592653589793,2.5200515,2.7675374,0.09226513,-0.0006387985,-0.00016416622,0.00014207127
1.0,-3.141592653589793,-2.5132741228718345,2.9844022,0.11157012,-2.2315083,0.14199895,-0.4798881,-0.2567764
1.0,-3.141592653589793,-1.8849555921538759,2.51984,2.7676418,0.09226489,0.00063563435,0.00016007553,-0.00014384105
1.0,-3.141592653589793,-1.2566370614359172,2.5198405,2.7676442,0.09226346,0.0006706751,0.00013202893,-0.00014772317
1.0,-3.141592653589793,-0.6283185307179586,2.5198505,2.767605,0.092273235,0.00011894533,0.0002840569,-0.00010084319
1.0,-3.141592653589793,0.0,2.5199986,2.7675788,0.09225392,-9.223635e-05,-0.0003042105,0.00011784485
1.0,-3.141592653589793,0.6283185307179586,2.5198436,2.767607,0.092273235,0.00014075845,0.00029129098,-0.00011418893
1.0,-3.141592653589793,1.2566370614359172,2.5200357,2.7675755,0.09225583,-0.00010200468,-0.00031293996,0.00010599135
1.0,-3.141592653589793,1.8849555921538759,2.5198405,2.7676442,0.09226346,0.0006706751,0.00013202893,-0.00014772317
1.0,-3.141592653589793,2.5132741228718345,2.920842,-0.0014865398,2.7889578,4.0279493,-0.3031665,0.4321379
1.0,-2.5132741228718345,-3.141592653589793,2.5198367,2.7676446,0.092264175,0.0006704869,0.00015160763,-0.0001570481
1.0,-2.5132741228718345,-2.5132741228718345,2.5198398,2.7676423,0.09226513,0.0006358129,0.00016242579,-0.00015847388
1.0,-2.5132741228718345,-1.8849555921538759,5.1681643,-0.27141833,2.719013,6.656469,1.7447985,-3.3919594
1.0,-2.5132741228718345,-1.2566370614359172,6.985639,0.086215496,-1.6496257,-6.4531984,-0.5488297,2.6785192
1.0,-2.5132741228718345,-0.6283185307179586,2.5198512,2.7675974,0.09227562,7.71801e-06,0.00033680475,-0.00011959185
1.0,-2.5132741228718345,0.0,2.5198379,2.7676642,0.0922575,0.0009522675,2.9604022e-05,-0.00014829681
1.0,-2.5132741228718345,0.6283185307179586,2.5198395,2.7676413,0.092265606,0.00063030527,0.00018656837,-0.00014553659
1.0,-2.5132741228718345,1.2566370614359172,2.5198364,2.767657,0.0922606,0.0008507145,7.7863646e-05,-0.00016195036
1.0,-2.5132741228718345,1.8849555921538759,2.519843,2.767646,0.09226322,0.0006964289,0.000119919285,-0.00015885095
1.0,-2.5132741228718345,2.5132741228718345,2.519844,2.7676442,0.09226346,0.0006726932,0.00013322342,-0.00013545174
1.0,-1.8849555921538759,-3.141592653589793,2.5198357,2.7676423,0.09226489,0.0006437788,0.00016776213,-0.0001460989
1.0,-1.8849555921538759,-2.5132741228718345,4.948093,-0.071815014,-2.677814,5.740743,0.3973261,0.32536748
1.0,-1.8849555921538759,-1.8849555921538759,7.5653553,0.12950492,-1.8828399,-4.082502,-0.24795339,1.7956722
1.0,-1.8849555921538759,-1.2566370614359172,2.5198414,2.7676413,0.09226465,0.00062693236,0.00014485068,-0.00014828172
1.0,-1.8849555921538759,-0.6283185307179586,2.5198374,2.7676437,0.09226465,0.0006616563,0.00015089507,-0.00013934245
1.0,-1.8849555921538759,0.0,2.5198386,2.7676413,0.092264175,0.0006235822,0.00014293822,-0.00013391295
1.0,-1.8849555921538759,0.6283185307179586,2.5200584,2.7675169,0.09227061,-0.00091637555,-8.9387206e-05,0.00016081697
1.0,-1.8849555921538759,1.2566370614359172,2.520044,2.7675593,0.092259884,-0.0003265595,-0.0002508028,0.00011011755
1.0,-1.8849555921538759,1.8849555921538759,5.6166415,-0.031159163,-2.5796845,4.7488456,0.21925181,1.2381433
1.0,-1.8849555921538759,2.5132741228718345,2.6096215,0.025961637,2.7435534,3.0758371,-0.29365522,0.55979943
1.0,-1.2566370614359172,-3.141592653589793,3.0136209,0.25368237,-2.173452,-0.3492852,-0.9296109,-0.32432592
1.0,-1.2566370614359172,-2.5132741228718345,6.010151,0.07354307,-2.2198138,-0.57182044,-0.24117762,1.3762572
1.0,-1.2566370614359172,-1.8849555921538759,2.0784612,0.1264205,2.0721076,-1.1842139,0.54656917,3.0752733
1.0,-1.2566370614359172,-1.2566370614359172,5.886403,-0.020224094,-2.495324,3.6138837,0.11660663,1.4630069
1.0,-1.2566370614359172,-0.6283185307179586,2.5198352,2.7676446,0.09226394,0.0006715068,0.00014569206,-0.00014741922
