d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
1.0,-3.141592653589793,-3.141592653589793,1.4447277,2.7808259,-0.025351763,-1.00159,-0.88215816,0.3643111
1.0,-3.141592653589793,-2.5132741228718345,1.4241396,-0.1695261,-2.2729337,-0.00039432762,0.00051712984,0.0005609037
1.0,-3.141592653589793,-1.8849555921538759,1.424081,-0.16952991,-2.2728956,-0.00035986892,0.00054474274,0.00050559104
1.0,-3.141592653589793,-1.2566370614359172,1.5539302,2.9568856,-0.041947126,-0.34806845,-1.248594,-0.0954892
1.0,-3.141592653589793,-0.6283185307179586,1.4240924,-0.16952586,-2.2728999,-0.00032575772,0.00050306576,0.0004792261
1.0,-3.141592653589793,0.0,1.5682284,3.0548422,-0.0253613,-0.07133754,-1.13917,-0.28695723
1.0,-3.141592653589793,0.6283185307179586,1.5694177,3.133352,0.007241726,0.0007480332,-0.72560096,-0.46212336
1.0,-3.141592653589793,1.2566370614359172,1.4240825,-0.16952777,-2.272895,-0.00032569008,0.000525365,0.0005307139
1.0,-3.141592653589793,1.8849555921538759,1.5514021,2.9476578,-0.042677402,-0.38164115,-1.2442282,-0.076897465
1.0,-3.141592653589793,2.5132741228718345,1.424142,-0.16952825,-2.2729368,-0.00038287562,0.0005101939,0.00057365256
1.0,-2.5132741228718345,-3.141592653589793,1.4241388,-0.16953039,-2.272935,-0.00039269798,0.00052293483,0.00057063194
1.0,-2.5132741228718345,-2.5132741228718345,1.4236807,-0.1693871,-2.2725422,-0.0006788798,-1.8702636e-05,0.00041691828
1.0,-2.5132741228718345,-1.8849555921538759,1.4241452,-0.1695292,-2.2729392,-0.00043476158,0.00048409236,0.00055284513
1.0,-2.5132741228718345,-1.2566370614359172,1.4241279,-0.1695211,-2.272922,-0.00042645592,0.0004659281,0.00056710513
1.0,-2.5132741228718345,-0.6283185307179586,1.4240817,-0.16953325,-2.2728984,-0.0002994062,0.0005553,0.0004966109
1.0,-2.5132741228718345,0.0,1.4240754,-0.16952658,-2.27289,-0.000326726,0.00054857833,0.00052390626
1.0,-2.5132741228718345,0.6283185307179586,1.4240876,-0.1695404,-2.272905,-0.00027226418,0.0005018817,0.00049978594
1.0,-2.5132741228718345,1.2566370614359172,1.5322807,2.9823859,0.24150729,0.8710737,1.855662,-0.85749406
1.0,-2.5132741228718345,1.8849555921538759,1.4240807,-0.16953707,-2.272899,-0.00030800857,0.0005155811,0.00052212144
1.0,-2.5132741228718345,2.5132741228718345,1.5696987,-3.1310158,0.023529053,-0.015487692,-0.50986695,-0.5320827
1.0,-1.8849555921538759,-3.141592653589793,1.4241434,-0.16952538,-2.2729356,-0.00040081912,0.0005132617,0.0005511758
1.0,-1.8849555921538759,-2.5132741228718345,19.929386,-0.06883168,1.6824343,6.3085885,7.684101,-2.290643
1.0,-1.8849555921538759,-1.8849555921538759,1.4241451,-0.16952157,-2.2729347,-0.00043414417,0.00046030155,0.0005858962
1.0,-1.8849555921538759,-1.2566370614359172,1.540706,2.9160378,-0.044136286,-0.50348824,-1.2140331,-0.0115602
1.0,-1.8849555921538759,-0.6283185307179586,1.571268,-3.1176713,0.049500942,-0.049334142,-0.17529789,-0.6452849
1.0,-1.8849555921538759,0.0,1.3669255,2.7222207,0.013462305,-0.9315804,-0.5745972,0.6993242
1.0,-1.8849555921538759,0.6283185307179586,1.381478,2.7316973,0.003907919,-0.98209304,-0.6460636,0.6282562
1.0,-1.8849555921538759,1.2566370614359172,1.424093,-0.16953325,-2.2729046,-0.00029935103,0.0005103771,0.0004942655
1.0,-1.8849555921538759,1.8849555921538759,1.4240782,-0.16953278,-2.2728946,-0.00032675092,0.0005625943,0.0004822489
1.0,-1.8849555921538759,2.5132741228718345,1.4394382,2.776107,-0.023466825,-1.0101796,-0.8645581,0.38431358
