d,theta1,theta2
5.000000000000000000e-01,1.524999976158142090e+00,2.546999931335449219e+00
5.000000000000000000e-01,1.603999972343444824e+00,-2.598000049591064453e+00
5.000000000000000000e-01,2.482000112533569336e+00,-1.924000024795532227e+00
5.000000000000000000e-01,2.608999967575073242e+00,2.483999967575073242e+00
6.458333134651184082e-01,1.662999987602233887e+00,-2.542000055313110352e+00
6.458333134651184082e-01,2.476999998092651367e+00,-1.967000007629394531e+00
6.458333134651184082e-01,2.661000013351440430e+00,2.482000112533569336e+00
7.916666865348815918e-01,-2.364000082015991211e+00,2.292999982833862305e+00
7.916666865348815918e-01,1.756000041961669922e+00,-2.500000000000000000e+00
7.916666865348815918e-01,2.443000078201293945e+00,-2.019000053405761719e+00
7.916666865348815918e-01,2.733000040054321289e+00,2.473999977111816406e+00
9.375000000000000000e-01,-2.211999893188476562e+00,2.253999948501586914e+00
9.375000000000000000e-01,2.348000049591064453e+00,-2.101999998092651367e+00
9.375000000000000000e-01,2.835000038146972656e+00,2.460000038146972656e+00
1.083333373069763184e+00,-2.092000007629394531e+00,2.256000041961669922e+00
1.083333373069763184e+00,2.128000020980834961e+00,-2.278000116348266602e+00
1.083333373069763184e+00,2.996000051498413086e+00,2.454999923706054688e+00
1.229166626930236816e+00,-1.972000002861022949e+00,2.282999992370605469e+00
1.229166626930236816e+00,1.996999979019165039e+00,-2.177999973297119141e+00
1.375000000000000000e+00,-1.840000033378601074e+00,2.321000099182128906e+00
1.375000000000000000e+00,1.935999989509582520e+00,-2.081000089645385742e+00
1.520833373069763184e+00,-1.690000057220458984e+00,2.338000059127807617e+00
1.520833373069763184e+00,1.901999950408935547e+00,-2.007999897003173828e+00
1.666666626930236816e+00,-9.399999678134918213e-02,2.655999898910522461e+00
1.666666626930236816e+00,1.884999990463256836e+00,-1.945999979972839355e+00
1.812500000000000000e+00,-1.738000035285949707e+00,8.059999942779541016e-01
