d,theta1,theta2
5.000000000000000000e-01,9.700000286102294922e-02,-2.506000041961669922e+00
5.000000000000000000e-01,9.700000286102294922e-02,-2.505000114440917969e+00
5.000000000000000000e-01,1.470999956130981445e+00,-1.327999949455261230e+00
5.000000000000000000e-01,1.940000057220458984e+00,-3.049000024795532227e+00
5.506328940391540527e-01,1.040000021457672119e-01,-2.509999990463256836e+00
5.506328940391540527e-01,1.457999944686889648e+00,-1.356999993324279785e+00
5.506328940391540527e-01,1.945999979972839355e+00,-3.043999910354614258e+00
6.012658476829528809e-01,1.110000014305114746e-01,-2.516000032424926758e+00
6.012658476829528809e-01,1.440999984741210938e+00,-1.391000032424926758e+00
6.012658476829528809e-01,1.952999949455261230e+00,-3.036999940872192383e+00
6.518987417221069336e-01,1.199999973177909851e-01,-2.520999908447265625e+00
6.518987417221069336e-01,1.414000034332275391e+00,-1.434999942779541016e+00
6.518987417221069336e-01,1.960000038146972656e+00,-3.030999898910522461e+00
7.025316357612609863e-01,1.289999932050704956e-01,-2.526000022888183594e+00
7.025316357612609863e-01,1.967000007629394531e+00,-3.023000001907348633e+00
7.531645298004150391e-01,1.400000005960464478e-01,-2.532000064849853516e+00
7.531645298004150391e-01,1.975000023841857910e+00,-3.015000104904174805e+00
8.037974834442138672e-01,1.529999971389770508e-01,-2.539000034332275391e+00
8.037974834442138672e-01,1.983000040054321289e+00,-3.006000041961669922e+00
8.544303774833679199e-01,1.679999977350234985e-01,-2.546000003814697266e+00
8.544303774833679199e-01,1.991000056266784668e+00,-2.996000051498413086e+00
9.050632715225219727e-01,1.889999955892562866e-01,-2.555000066757202148e+00
9.050632715225219727e-01,2.000999927520751953e+00,-2.984999895095825195e+00
9.556962251663208008e-01,2.169999927282333374e-01,-2.566999912261962891e+00
9.556962251663208008e-01,2.009999990463256836e+00,-2.971999883651733398e+00
1.006329059600830078e+00,2.630000114440917969e-01,-2.585999965667724609e+00
1.006329059600830078e+00,2.019999980926513672e+00,-2.956000089645385742e+00
1.056962013244628906e+00,2.030999898910522461e+00,-2.937000036239624023e+00
1.107594966888427734e+00,2.042000055313110352e+00,-2.911999940872192383e+00
1.107594966888427734e+00,2.836999893188476562e+00,-2.457000017166137695e+00
1.158227801322937012e+00,2.055000066757202148e+00,-2.878000020980834961e+00
1.158227801322937012e+00,2.892999887466430664e+00,-2.401999950408935547e+00
1.208860754966735840e+00,2.071000099182128906e+00,-2.826999902725219727e+00
1.208860754966735840e+00,2.898999929428100586e+00,-2.348999977111816406e+00
1.259493708610534668e+00,2.101000070571899414e+00,-2.737999916076660156e+00
1.259493708610534668e+00,2.884000062942504883e+00,-2.288000106811523438e+00
1.310126543045043945e+00,2.785000085830688477e+00,-1.799999922513961792e-02
1.310126543045043945e+00,2.854000091552734375e+00,-2.217000007629394531e+00
1.360759496688842773e+00,-2.276999950408935547e+00,2.864000082015991211e+00
1.360759496688842773e+00,2.730000019073486328e+00,-3.400000184774398804e-02
1.360759496688842773e+00,2.809999942779541016e+00,-2.131000041961669922e+00
1.411392450332641602e+00,-2.250000000000000000e+00,2.760999917984008789e+00
1.411392450332641602e+00,2.707000017166137695e+00,-3.799999877810478210e-02
1.411392450332641602e+00,2.747999906539916992e+00,-2.028000116348266602e+00
1.462025284767150879e+00,-2.233999967575073242e+00,2.697999954223632812e+00
1.462025284767150879e+00,2.667000055313110352e+00,-1.911999940872192383e+00
1.462025284767150879e+00,2.694999933242797852e+00,-3.599999845027923584e-02
1.512658238410949707e+00,-2.220999956130981445e+00,2.647000074386596680e+00
1.512658238410949707e+00,2.559999942779541016e+00,-1.794000029563903809e+00
1.512658238410949707e+00,2.687000036239624023e+00,-3.099999949336051941e-02
1.563291192054748535e+00,-2.209000110626220703e+00,2.602999925613403320e+00
1.563291192054748535e+00,1.902999997138977051e+00,-2.276999950408935547e+00
1.563291192054748535e+00,2.421000003814697266e+00,-1.700999975204467773e+00
1.563291192054748535e+00,2.681999921798706055e+00,-2.400000020861625671e-02
1.613924026489257812e+00,-2.196000099182128906e+00,2.565000057220458984e+00
1.613924026489257812e+00,1.799000024795532227e+00,-2.283999919891357422e+00
1.613924026489257812e+00,2.677000045776367188e+00,-1.499999966472387314e-02
1.664556980133056641e+00,-2.180999994277954102e+00,2.529000043869018555e+00
1.664556980133056641e+00,1.728000044822692871e+00,-2.269999980926513672e+00
1.664556980133056641e+00,2.673000097274780273e+00,-4.999999888241291046e-03
1.715189814567565918e+00,-2.163000106811523438e+00,2.496000051498413086e+00
1.715189814567565918e+00,1.675999999046325684e+00,-2.249000072479248047e+00
1.715189814567565918e+00,2.667999982833862305e+00,4.999999888241291046e-03
1.765822768211364746e+00,-2.138000011444091797e+00,2.464999914169311523e+00
1.765822768211364746e+00,1.639000058174133301e+00,-2.226999998092651367e+00
1.765822768211364746e+00,2.664000034332275391e+00,1.499999966472387314e-02
1.816455721855163574e+00,-2.101000070571899414e+00,2.436000108718872070e+00
1.816455721855163574e+00,1.610999941825866699e+00,-2.204999923706054688e+00
1.816455721855163574e+00,2.658999919891357422e+00,2.500000037252902985e-02
1.867088556289672852e+00,-2.039999961853027344e+00,2.407999992370605469e+00
1.867088556289672852e+00,-2.039000034332275391e+00,2.407999992370605469e+00
1.867088556289672852e+00,-1.330000013113021851e-01,2.677999973297119141e+00
1.867088556289672852e+00,1.590999960899353027e+00,-2.184000015258789062e+00
1.867088556289672852e+00,2.653000116348266602e+00,3.599999845027923584e-02
1.917721509933471680e+00,-1.480000019073486328e-01,2.670000076293945312e+00
1.917721509933471680e+00,-1.480000019073486328e-01,2.671000003814697266e+00
1.917721509933471680e+00,1.575999975204467773e+00,-2.164000034332275391e+00
1.917721509933471680e+00,2.648000001907348633e+00,4.500000178813934326e-02
1.968354463577270508e+00,-1.659999936819076538e-01,2.668999910354614258e+00
1.968354463577270508e+00,1.564000010490417480e+00,-2.144999980926513672e+00
1.968354463577270508e+00,2.641999959945678711e+00,5.499999970197677612e-02
2.018987417221069336e+00,-1.266999959945678711e+00,1.259999990463256836e+00
2.018987417221069336e+00,-1.266999959945678711e+00,1.261000037193298340e+00
2.018987417221069336e+00,-1.829999983310699463e-01,2.674000024795532227e+00
2.018987417221069336e+00,1.554999947547912598e+00,-2.128000020980834961e+00
2.018987417221069336e+00,2.635999917984008789e+00,6.400000303983688354e-02
2.069620370864868164e+00,-1.503999948501586914e+00,1.065000057220458984e+00
2.069620370864868164e+00,-2.000000029802322388e-01,2.680999994277954102e+00
2.069620370864868164e+00,-2.000000029802322388e-01,2.681999921798706055e+00
2.069620370864868164e+00,4.070000052452087402e-01,-3.479999899864196777e-01
2.069620370864868164e+00,1.547000050544738770e+00,-2.111999988555908203e+00
2.069620370864868164e+00,2.630000114440917969e+00,7.199999690055847168e-02
2.120253086090087891e+00,-1.610000014305114746e+00,9.570000171661376953e-01
2.120253086090087891e+00,-2.150000035762786865e-01,2.690999984741210938e+00
2.120253086090087891e+00,4.550000131130218506e-01,-3.339999914169311523e-01
2.120253086090087891e+00,1.541000008583068848e+00,-2.096999883651733398e+00
2.120253086090087891e+00,2.622999906539916992e+00,7.900000363588333130e-02
2.170886039733886719e+00,-1.705999970436096191e+00,8.450000286102294922e-01
2.170886039733886719e+00,-2.280000001192092896e-01,2.701999902725219727e+00
2.170886039733886719e+00,4.990000128746032715e-01,-3.210000097751617432e-01
