d,theta1,theta2
5.000000000000000000e-01,1.524999976158142090e+00,2.546999931335449219e+00
5.000000000000000000e-01,1.603999972343444824e+00,-2.598000049591064453e+00
5.000000000000000000e-01,2.482000112533569336e+00,-1.924000024795532227e+00
5.000000000000000000e-01,2.608999967575073242e+00,2.483999967575073242e+00
5.714285969734191895e-01,1.518000006675720215e+00,2.598000049591064453e+00
5.714285969734191895e-01,1.629999995231628418e+00,-2.569000005722045898e+00
5.714285969734191895e-01,2.482000112533569336e+00,-1.944000005722045898e+00
5.714285969734191895e-01,2.631999969482421875e+00,2.483999967575073242e+00
6.428571343421936035e-01,1.661999940872192383e+00,-2.542999982833862305e+00
6.428571343421936035e-01,2.476999998092651367e+00,-1.965999960899353027e+00
6.428571343421936035e-01,2.660000085830688477e+00,2.482000112533569336e+00
7.142857313156127930e-01,1.700000047683715820e+00,-2.519000053405761719e+00
7.142857313156127930e-01,2.466000080108642578e+00,-1.990000009536743164e+00
7.142857313156127930e-01,2.691999912261962891e+00,2.479000091552734375e+00
7.857142686843872070e-01,-2.371999979019165039e+00,2.296000003814697266e+00
7.857142686843872070e-01,1.751000046730041504e+00,-2.500999927520751953e+00
7.857142686843872070e-01,2.444999933242797852e+00,-2.016999959945678711e+00
7.857142686843872070e-01,2.730000019073486328e+00,2.473999977111816406e+00
8.571428656578063965e-01,-2.288000106811523438e+00,2.269000053405761719e+00
8.571428656578063965e-01,1.825999975204467773e+00,-2.494999885559082031e+00
8.571428656578063965e-01,2.411000013351440430e+00,-2.049000024795532227e+00
8.571428656578063965e-01,2.773999929428100586e+00,2.467999935150146484e+00
9.285714030265808105e-01,-2.220000028610229492e+00,2.255000114440917969e+00
9.285714030265808105e-01,2.357000112533569336e+00,-2.095000028610229492e+00
9.285714030265808105e-01,2.826999902725219727e+00,2.460999965667724609e+00
1.000000000000000000e+00,-2.158999919891357422e+00,2.250999927520751953e+00
1.000000000000000000e+00,2.272000074386596680e+00,-2.173000097274780273e+00
